ID	ID_BEZERO	ZENBAKIA
1	287	+4140123563
1	288	+4160123565
1	289	+4170123567
1	290	+41310123569
1	291	+41680123571
1	292	+4150123573
1	293	+4180123575
1	294	+4110123577
1	295	+4190123579
1	296	+41690123581
1	297	+41700123583
1	298	+91800123687
1	299	+91800123689
1	300	+91800123695
1	301	+91800123699
1	302	+91800123701
1	303	+91800123703
1	304	+91800123709
1	305	+91800123711
1	306	+91800123715
1	307	+91800123717
1	308	+91800123719
1	309	+91800123723
1	310	+91800123725
1	311	+91800123731
1	312	+91800123733
1	313	+91800123735
1	314	+91800123737
1	315	+91800123739
1	316	+91800123741
1	317	+91800123745
1	318	+91800123837
1	319	+86100123839
1	1	+13171234104
1	2	+13171234111
1	3	+18121234115
1	4	+13171234126
1	5	+18121234129
1	6	+12191234136
1	7	+12191234138
1	8	+13171234141
1	9	+12191234142
1	10	+13171234146
1	11	+18121234150
1	12	+18121234151
1	13	+18121234153
1	14	+18121234157
1	15	+13131234159
1	16	+13131234160
1	17	+16161234162
1	18	+16161234181
1	19	+15171234191
1	20	+15171234199
1	21	+15171234201
1	22	+15171234206
1	23	+13131234219
1	24	+13131234222
1	25	+15171234225
1	26	+13131234226
1	27	+15171234228
1	28	+13131234230
1	29	+16161234234
1	30	+13131234242
1	31	+16161234245
1	32	+13131234248
1	33	+15171234253
1	34	+13131234255
1	35	+13131234263
1	36	+15171234265
1	37	+13191234271
1	38	+15151234273
1	39	+13191234278
1	40	+17121234280
1	41	+13191234282
1	42	+13191234288
1	43	+15151234290
1	44	+13191234301
1	45	+17451234306
1	46	+14141234307
1	47	+14141234308
1	48	+16081234309
1	49	+16081234318
1	50	+14141234323
1	51	+14141234324
1	52	+14141234328
1	53	+16081234332
1	54	+16081234344
1	55	+14141234347
1	56	+14141234348
1	57	+14141234350
1	58	+17451234367
1	59	+14141234369
1	60	+17151234372
1	61	+14141234373
1	62	+16081234374
1	63	+14141234376
1	64	+16081234378
1	65	+14141234381
1	66	+16121234397
1	67	+16121234399
1	68	+16121234408
1	69	+16121234417
1	70	+16121234419
1	71	+15071234421
1	72	+12181234429
1	73	+16121234434
1	74	+13151234442
1	75	+13151234447
1	76	+17161234457
1	77	+15181234459
1	78	+15181234464
1	79	+15181234474
1	80	+19141234494
1	81	+15181234496
1	82	+17161234575
1	83	+19141234578
1	84	+13151234597
1	85	+17161234599
1	86	+17161234605
1	87	+15181234617
1	88	+15181234618
1	89	+19141234619
1	90	+15181234624
1	91	+12151234644
1	92	+16101234657
1	93	+14121234662
1	94	+18141234663
1	95	+16101234664
1	96	+16101234667
1	97	+16101234669
1	98	+17171234674
1	99	+12151234676
1	100	+14121234681
1	101	+14121234684
1	102	+14121234688
1	103	+14121234691
1	104	+17171234692
1	105	+18141234696
1	106	+18141234697
1	107	+14121234700
1	108	+18141234706
1	109	+12151234708
1	110	+16101234714
1	111	+14121234718
1	112	+12151234721
1	113	+18141234722
1	114	+14121234724
1	115	+17171234730
1	116	+12151234738
1	117	+17171234739
1	118	+14121234740
1	119	+17171234741
1	120	+12151234743
1	121	+16101234744
1	122	+12151234745
1	123	+17171234746
1	124	+12151234748
1	125	+17171234752
1	126	+14121234763
1	127	+18141234766
1	128	+14121234767
1	129	+12151234768
1	130	+12151234771
1	131	+13011234794
1	132	+14101234795
1	133	+14101234800
1	134	+14101234805
1	135	+14100124715
1	136	+13011234809
1	137	+14101234812
1	138	+14101234813
1	139	+13011234814
1	140	+14101234816
1	141	+14101234817
1	142	+13011234818
1	143	+13011234819
1	144	+14101234822
1	145	+14101234840
1	146	+14141234363
1	147	+15071234387
1	148	+16121234436
1	149	+12191234145
1	150	+16161234190
1	151	+13131234241
1	152	+16161234259
1	153	+13191234269
1	154	+17121234284
1	155	+17121234289
1	156	+14141234312
1	157	+14141234364
1	158	+13201234385
1	159	+16121234407
1	160	+17161234456
1	161	+17161234582
1	162	+17161234627
1	163	+14121234677
1	164	+12151234702
1	165	+12151234749
1	166	+18141234755
1	167	+13011234831
1	168	+13131234167
1	169	+12191234116
1	170	+16161234166
1	171	+18101234212
1	172	+13131234240
1	173	+14141234340
1	174	+17161234485
1	175	+15181234532
1	176	+15181234562
1	177	+13151234585
1	178	+14121234659
1	179	+17171234679
1	180	+12151234709
1	181	+12151234751
1	182	+14101234807
1	183	+14101234829
1	184	+868110124093
1	185	+861230124095
1	186	+91800124123
1	187	+49890124129
1	188	+49900124131
1	189	+49910124133
1	190	+3960124543
1	191	+14160124147
1	192	+39550124547
1	193	+39550124551
1	194	+39550124555
1	195	+39100124365
1	196	+39550124565
1	197	+39100124367
1	198	+815650124567
1	199	+39100124369
1	200	+39550124569
1	201	+39100124371
1	202	+39490124373
1	203	+39490124375
1	204	+39490124377
1	205	+39100124379
1	206	+39100124381
1	207	+86100124165
1	208	+39550124559
